               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  71,              1.8766,              1.3146,              1.7507,             0.70448,             0.55634,             0.59979,             0.29364,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              1.8289,              1.3049,              1.7345,             0.72655,             0.49509,             0.55457,             0.27639,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              1.8333,              1.2699,              1.6858,          0.00010965,          0.00088183,          3.8002e-05,          6.7048e-06,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              1.8942,              1.3365,               1.753,           0.0060318,            0.031118,           0.0028314,          0.00074983,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              1.8081,              1.2835,              1.6795,             0.24344,             0.09531,            0.089325,            0.039992,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              1.7826,               1.258,              1.6938,             0.69554,             0.51043,             0.54628,             0.27806,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              1.8858,              1.3248,              1.7147,            0.077956,            0.068493,            0.041351,            0.016111,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              1.8155,              1.2716,              1.7016,              0.7109,             0.19345,             0.26191,              0.1074,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              1.8205,              1.3034,              1.7046,             0.60788,             0.40385,             0.45003,             0.22769,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              1.7772,               1.235,              1.6593,             0.61361,             0.21332,             0.25179,             0.10562,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,              1.8059,              1.2701,              1.6647,             0.85293,             0.27795,             0.36912,              0.1748,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              1.8334,              1.2577,              1.7086,             0.68474,             0.54359,              0.5803,             0.29082,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              1.7905,              1.2581,              1.6855,              0.7915,             0.55825,             0.65103,             0.32561,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              1.7532,              1.2234,              1.6447,              0.6903,             0.51796,             0.57143,             0.29859,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              1.7968,              1.2298,              1.6976,             0.64499,             0.25706,             0.28626,             0.12702,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              1.7802,              1.2321,              1.6821,             0.63958,             0.39739,             0.45053,             0.22756,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              1.7555,              1.2074,              1.6248,             0.73947,             0.55963,             0.59383,             0.29919,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,               1.771,              1.2052,              1.6483,              0.7227,              0.5443,             0.60013,             0.29792,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              1.7571,              1.2007,              1.6465,             0.51797,             0.22681,              0.2504,             0.10817,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              1.7422,               1.206,               1.638,             0.70619,             0.40933,             0.46521,              0.2431,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,              1.7181,              1.1584,              1.6043,             0.67397,             0.38505,             0.46132,                0.23,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              1.6893,              1.1398,              1.6073,             0.74101,             0.52852,             0.59208,             0.31306,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              1.7143,              1.1673,              1.6098,             0.33878,             0.10399,             0.20271,            0.077593,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              1.6654,              1.1306,              1.5648,             0.72897,             0.58826,              0.6364,             0.32435,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              1.6836,              1.1167,              1.6129,             0.77816,             0.60441,             0.65863,             0.33312,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              1.6936,              1.1422,              1.6055,             0.73049,             0.63785,             0.67284,             0.34237,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              1.7068,              1.1267,              1.6053,           0.0074032,            0.052116,           0.0064585,           0.0018085,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              1.7184,              1.1266,              1.5775,             0.34578,             0.10121,             0.20889,              0.1047,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,               1.688,              1.1263,              1.5742,             0.23055,            0.061396,             0.12032,            0.040899,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              1.7049,               1.138,               1.603,             0.56563,               0.268,             0.30924,             0.14509,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              1.6816,              1.1131,              1.5951,             0.18232,            0.064617,            0.099676,            0.041875,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              1.6808,               1.149,              1.6067,             0.69965,             0.54477,             0.58391,             0.27834,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              1.6674,              1.1132,              1.5716,             0.84372,             0.55564,             0.65151,             0.31771,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,              1.6535,              1.1055,              1.5919,             0.58526,             0.32915,             0.36736,             0.16661,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              1.7054,              1.1532,               1.618,             0.58211,             0.31055,             0.34383,             0.16629,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              1.6635,              1.0928,              1.5519,             0.43115,             0.33102,             0.35766,             0.16992,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,              1.6702,               1.099,              1.5778,             0.63312,             0.38381,             0.44465,             0.21822,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              1.7152,              1.1316,              1.5896,             0.63939,             0.39747,             0.44902,             0.21828,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
