                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.3526,                0.84191,                 1.3104,                0.83693,                0.72703,                0.80711,                0.39934,                 1.4493,                0.86853,                 1.3937,             0.00072637,             0.00072637,             0.00072637
                     58,                 1.3202,                0.81783,                 1.2939,                0.78896,                0.69523,                0.77966,                0.39032,                 1.4164,                0.89697,                 1.3777,             0.00072561,             0.00072561,             0.00072561
                     59,                 1.3081,                0.81735,                 1.3009,                0.82047,                0.71295,                 0.7577,                0.36998,                 1.4894,                0.88863,                 1.4042,             0.00072484,             0.00072484,             0.00072484
                     60,                 1.2852,                0.80674,                 1.2745,                0.84937,                0.71219,                0.77298,                0.38729,                 1.4114,                0.84417,                 1.3819,             0.00072408,             0.00072408,             0.00072408
                     61,                 1.2772,                 0.7956,                 1.2779,                0.90901,                0.67783,                0.78596,                0.40197,                 1.4933,                0.87096,                 1.3913,             0.00072332,             0.00072332,             0.00072332
                     62,                 1.3109,                0.80443,                 1.2817,                0.74943,                0.74223,                0.76456,                0.38657,                 1.4493,                0.88972,                 1.3929,             0.00072256,             0.00072256,             0.00072256
                     63,                 1.2689,                0.77617,                 1.2708,                0.81669,                0.68987,                0.75955,                0.37447,                 1.4586,                 0.8523,                 1.4029,              0.0007218,              0.0007218,              0.0007218
                     64,                 1.3137,                0.79563,                 1.2947,                0.82785,                0.69724,                 0.7823,                0.37871,                 1.4869,                0.85054,                 1.3956,             0.00072104,             0.00072104,             0.00072104
                     65,                 1.2741,                0.77233,                 1.2744,                0.85422,                 0.6833,                0.78426,                0.38686,                 1.5206,                0.87606,                  1.429,             0.00072028,             0.00072028,             0.00072028
                     66,                 1.2487,                0.76335,                  1.255,                0.87587,                0.69443,                0.78537,                0.39197,                 1.4541,                0.85121,                 1.4012,             0.00071951,             0.00071951,             0.00071951
                     67,                 1.2381,                0.75492,                 1.2513,                0.86202,                0.69246,                0.81304,                0.39794,                 1.4164,                0.84299,                 1.3759,             0.00071875,             0.00071875,             0.00071875
                     68,                 1.2412,                0.75814,                 1.2439,                0.84268,                0.78424,                0.79892,                 0.3982,                 1.4309,                 0.8432,                 1.3671,             0.00071799,             0.00071799,             0.00071799
                     69,                 1.2373,                0.74892,                 1.2513,                0.77638,                0.65232,                0.72387,                0.35712,                 1.5658,                0.94676,                 1.4747,             0.00071723,             0.00071723,             0.00071723
                     70,                 1.2377,                0.75069,                 1.2356,                0.77379,                0.77848,                0.78353,                0.38846,                 1.4256,                0.85348,                 1.3597,             0.00071647,             0.00071647,             0.00071647
                     71,                 1.2188,                0.73994,                 1.2332,                0.85687,                0.69665,                  0.806,                0.41696,                 1.4202,                0.79772,                 1.3648,             0.00071571,             0.00071571,             0.00071571
                     72,                 1.2138,                0.73411,                 1.2345,                0.75944,                0.76525,                0.79552,                0.40086,                 1.4354,                0.80712,                 1.3794,             0.00071495,             0.00071495,             0.00071495
                     73,                 1.2553,                0.73884,                 1.2447,                0.77302,                0.75322,                0.78826,                 0.3952,                 1.4976,                0.87074,                 1.4129,             0.00071419,             0.00071419,             0.00071419
                     74,                 1.2366,                0.73702,                 1.2482,                0.73519,                0.77455,                0.79078,                0.39752,                  1.411,                0.80822,                 1.3701,             0.00071342,             0.00071342,             0.00071342
                     75,                 1.2025,                0.72134,                 1.2134,                0.81095,                0.72502,                0.78212,                 0.4052,                 1.4092,                0.82284,                 1.3604,             0.00071266,             0.00071266,             0.00071266
                     76,                 1.1884,                0.70148,                 1.1955,                0.78058,                0.49693,                0.54072,                0.24754,                 1.8457,                 1.4939,                 1.7756,              0.0007119,              0.0007119,              0.0007119
                     77,                 1.2215,                0.71009,                 1.2142,                0.83231,                 0.7645,                0.80289,                0.40986,                 1.4394,                0.82264,                 1.3952,             0.00071114,             0.00071114,             0.00071114
                     78,                 1.2183,                0.71124,                  1.223,                0.85691,                0.78056,                0.81276,                0.41709,                 1.4438,                0.77345,                 1.3642,             0.00071038,             0.00071038,             0.00071038
                     79,                 1.2069,                 0.7095,                 1.2071,                0.82944,                0.74466,                 0.7948,                0.42196,                  1.419,                0.79725,                 1.3397,             0.00070962,             0.00070962,             0.00070962
                     80,                 1.1729,                0.68816,                 1.1975,                0.82274,                0.78001,                0.81043,                0.41133,                 1.4061,                0.79362,                 1.3352,             0.00070886,             0.00070886,             0.00070886
                     81,                 1.1615,                0.68609,                 1.1916,                0.70673,                0.48165,                0.53762,                0.26324,                 1.7402,                 1.5323,                 1.6188,              0.0007081,              0.0007081,              0.0007081
                     82,                 1.1297,                0.65802,                  1.171,                0.74825,                0.77678,                0.80506,                 0.3937,                  1.413,                 0.8005,                   1.34,             0.00070733,             0.00070733,             0.00070733
                     83,                  1.158,                0.68554,                 1.1797,                0.77494,                0.78609,                0.82208,                0.41913,                 1.4051,                0.79488,                 1.3442,             0.00070657,             0.00070657,             0.00070657
                     84,                 1.1363,                0.67329,                 1.1731,                0.78563,                0.73253,                0.76441,                0.38751,                 1.4431,                0.83163,                 1.3692,             0.00070581,             0.00070581,             0.00070581
                     85,                 1.1627,                0.68678,                 1.1864,                0.75735,                 0.7559,                0.79057,                0.40832,                 1.4148,                0.79603,                 1.3539,             0.00070505,             0.00070505,             0.00070505
                     86,                 1.1498,                0.67265,                 1.1781,                0.80978,                0.78395,                0.81624,                0.42299,                 1.4214,                 0.7791,                 1.3458,             0.00070429,             0.00070429,             0.00070429
                     87,                 1.1312,                0.67109,                  1.171,                0.76205,                 0.7961,                0.82044,                0.41389,                  1.425,                0.76063,                 1.3489,             0.00070353,             0.00070353,             0.00070353
                     88,                 1.1351,                 0.6671,                 1.1673,                0.83371,                0.77518,                0.80098,                0.40615,                 1.4228,                0.79925,                 1.3451,             0.00070277,             0.00070277,             0.00070277
                     89,                 1.1062,                0.65149,                 1.1533,                0.82834,                0.77911,                0.79927,                0.41894,                 1.4041,                0.74363,                 1.3414,               0.000702,               0.000702,               0.000702
                     90,                 1.1319,                0.65365,                 1.1638,                0.77062,                0.78003,                0.82931,                0.42737,                 1.4044,                0.75511,                  1.332,             0.00070124,             0.00070124,             0.00070124
                     91,                 1.1318,                0.65973,                 1.1769,                0.78971,                0.81196,                0.81704,                0.42872,                 1.3783,                0.75823,                 1.3462,             0.00070048,             0.00070048,             0.00070048
                     92,                 1.1264,                0.64669,                  1.171,                0.85266,                 0.7022,                 0.8117,                0.42396,                 1.4386,                0.76705,                 1.3598,             0.00069972,             0.00069972,             0.00069972
                     93,                 1.1031,                0.64161,                  1.154,                0.80692,                0.50759,                 0.5658,                0.27316,                 1.7462,                 1.3839,                 1.6487,             0.00069896,             0.00069896,             0.00069896
